  UID   PID  PPID   C STIME   TTY           TIME CMD
  501 13583     1   0 27 825  ??         0:42.88 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
  501 13593     1   0 27 825  ??         0:00.48 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
  501 13704     1   0 27 825  ??        10:22.71 /System/Library/Input Methods/KoreanIM.app/Contents/PlugIns/KIM_Extension.appex/Contents/MacOS/KIM_Extension -AppleLanguages ("ko-KR")
  296 14041     1   0 27 825  ??         0:14.35 /usr/sbin/distnoted agent
  501 14150     1   0 10 925  ??         3:01.96 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501 14419     1   0 27 825  ??         0:38.81 /System/Library/PrivateFrameworks/People.framework/peopled
  301 14426     1   0 27 825  ??         0:28.70 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService
  301 14427     1   0 27 825  ??         0:13.25 /usr/sbin/distnoted agent
  301 14428     1   0 27 825  ??         0:16.38 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService
  301 14700     1   0 27 825  ??         0:01.05 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService
    0 15186     1   0 27 825  ??         0:00.59 /System/Library/PrivateFrameworks/DiskImages.framework/Resources/hdiejectd
  501 15188     1   0 27 825  ??         0:02.83 /System/Library/PrivateFrameworks/DiskImages.framework/Resources/diskimages-helper -uuid 9D58E8C3-D8B1-4ACC-B987-4004B1853BEC -post-exec 5
  501 16764     1   0 27 825  ??         0:32.19 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
  294 16860     1   0 27 825  ??         0:12.91 /usr/sbin/distnoted agent
  501 16984     1   0 27 825  ??         0:00.57 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  501 17047     1   0 28 825  ??         0:04.51 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
  501 18484     1   0 10 925  ??         0:12.94 /usr/sbin/BTLEServerAgent
    0 18540     1   0 10 925  ??         0:14.98 /usr/sbin/BTLEServer
  262 18619     1   0 28 825  ??         0:08.98 /usr/sbin/appleh16camerad
  501 20820     1   0 29 825  ??         0:13.40 /System/Library/ExtensionKit/Extensions/WallpaperVideoExtension.appex/Contents/MacOS/WallpaperVideoExtension
  501 22267     1   0 30 825  ??         0:40.59 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
  501 22268     1   0 30 825  ??         0:00.18 /usr/libexec/USBAgent
    0 22316     1   0 30 825  ??         0:22.43 /usr/libexec/wifivelocityd
    0 22350     1   0 30 825  ??        13:07.09 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  501 27947     1   0 30 825  ??         0:28.94 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
  501 28627     1   0 31 825  ??         0:14.46 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  501 32786     1   0  1 925  ??         0:00.11 /System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent
  501 34079     1   0  1 925  ??         1:04.13 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
    0 34278     1   0 11 925  ??         0:17.97 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
   98 36797     1   0  2 925  ??         0:10.95 /usr/sbin/distnoted agent
  501 38303     1   0  2 925  ??         0:00.02 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
    0 38594     1   0 12 925  ??         0:16.15 /usr/libexec/nehelper
  501 38622     1   0 12 925  ??         1:27.27 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  501 38674     1   0 12 925  ??         1:10.68 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  501 39294     1   0 12 925  ??         0:03.40 /System/Applications/Messages.app/Contents/PlugIns/Messages Assistant Extension.appex/Contents/MacOS/Messages Assistant Extension -AppleLanguages ("ko-KR")
  501 40982     1   0  3 925  ??         0:02.34 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
  501 42667     1   0 13 925  ??         1:40.59 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  501 42702     1   0 13 925  ??         0:39.47 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  501 42728     1   0 13 925  ??         0:09.65 /usr/libexec/bluetoothuserd
  501 42752     1   0 13 925  ??         0:11.32 /usr/libexec/proactived
  501 43024     1   0 13 925  ??         3:36.16 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501 47722     1   0 일02AM ??         0:12.97 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  501 48912     1   0 수04AM ??         0:02.56 /usr/libexec/pkd
